Date,weekly runoff
2023-10-08,15.761937
2023-10-15,15.761937
2023-10-22,15.761937
2023-10-29,15.761937
2023-11-05,15.761937
2023-11-12,15.761937
2023-11-19,15.761937
2023-11-26,15.761937
2023-12-03,15.761937
2023-12-10,15.761937
2023-12-17,15.761937
2023-12-24,15.761937
2023-12-31,15.761937
2024-01-07,15.761937
2024-01-14,15.761937
2024-01-21,15.761937
2024-01-28,15.761937
2024-02-04,15.761937
2024-02-11,15.761937
2024-02-18,15.761937
2024-02-25,15.761937
2024-03-03,15.761937
2024-03-10,15.761937
2024-03-17,15.761937
2024-03-24,15.761937
2024-03-31,15.761937
2024-04-07,15.761937
2024-04-14,15.761937
2024-04-21,15.761937
2024-04-28,15.761937
2024-05-05,15.761937
2024-05-12,15.761937
2024-05-19,15.761937
2024-05-26,15.761937
2024-06-02,15.761937
2024-06-09,15.761937
2024-06-16,15.761937
2024-06-23,15.761937
2024-06-30,15.761937
2024-07-07,15.761937
2024-07-14,15.761937
2024-07-21,15.761937
2024-07-28,15.761937
2024-08-04,15.761937
2024-08-11,15.761937
2024-08-18,15.761937
2024-08-25,15.761937
2024-09-01,15.761937
2024-09-08,15.761937
2024-09-15,15.761937
2024-09-22,15.761937
2024-09-29,15.761937
2024-10-06,15.761937
2024-10-13,15.761937
2024-10-20,15.761937
2024-10-27,15.761937
2024-11-03,15.761937
2024-11-10,15.761937
2024-11-17,15.761937
2024-11-24,15.761937
2024-12-01,15.761937
2024-12-08,15.761937
2024-12-15,15.761937
2024-12-22,15.761937
2024-12-29,15.761937
2025-01-05,15.761937
2025-01-12,15.761937
2025-01-19,15.761937
2025-01-26,15.761937
2025-02-02,15.761937
2025-02-09,15.761937
2025-02-16,15.761937
2025-02-23,15.761937
2025-03-02,15.761937
2025-03-09,15.761937
2025-03-16,15.761937
2025-03-23,15.761937
2025-03-30,15.761937
2025-04-06,15.761937
2025-04-13,15.761937
2025-04-20,15.761937
2025-04-27,15.761937
2025-05-04,15.761937
2025-05-11,15.761937
2025-05-18,15.761937
2025-05-25,15.761937
2025-06-01,15.761937
2025-06-08,15.761937
2025-06-15,15.761937
2025-06-22,15.761937
2025-06-29,15.761937
2025-07-06,15.761937
2025-07-13,15.761937
2025-07-20,15.761937
2025-07-27,15.761937
2025-08-03,15.761937
2025-08-10,15.761937
2025-08-17,15.761937
2025-08-24,15.761937
2025-08-31,15.761937
2025-09-07,15.761937
2025-09-14,15.761937
2025-09-21,15.761937
2025-09-28,15.761937
2025-10-05,15.761937
2025-10-12,15.761937
2025-10-19,15.761937
2025-10-26,15.761937
2025-11-02,15.761937
2025-11-09,15.761937
2025-11-16,15.761937
2025-11-23,15.761937
2025-11-30,15.761937
2025-12-07,15.761937
2025-12-14,15.761937
2025-12-21,15.761937
2025-12-28,15.761937
2026-01-04,15.761937
2026-01-11,15.761937
2026-01-18,15.761937
2026-01-25,15.761937
2026-02-01,15.761937
2026-02-08,15.761937
2026-02-15,15.761937
2026-02-22,15.761937
2026-03-01,15.761937
2026-03-08,15.761937
2026-03-15,15.761937
2026-03-22,15.761937
2026-03-29,15.761937
2026-04-05,15.761937
2026-04-12,15.761937
2026-04-19,15.761937
2026-04-26,15.761937
2026-05-03,15.761937
2026-05-10,15.761937
2026-05-17,15.761937
2026-05-24,15.761937
2026-05-31,15.761937
2026-06-07,15.761937
2026-06-14,15.761937
2026-06-21,15.761937
2026-06-28,15.761937
2026-07-05,15.761937
2026-07-12,15.761937
2026-07-19,15.761937
2026-07-26,15.761937
2026-08-02,15.761937
2026-08-09,15.761937
2026-08-16,15.761937
2026-08-23,15.761937
2026-08-30,15.761937
2026-09-06,15.761937
2026-09-13,15.761937
2026-09-20,15.761937
2026-09-27,15.761937
2026-10-04,15.761937
2026-10-11,15.761937
2026-10-18,15.761937
2026-10-25,15.761937
2026-11-01,15.761937
2026-11-08,15.761937
2026-11-15,15.761937
2026-11-22,15.761937
2026-11-29,15.761937
2026-12-06,15.761937
2026-12-13,15.761937
2026-12-20,15.761937
2026-12-27,15.761937
2027-01-03,15.761937
2027-01-10,15.761937
2027-01-17,15.761937
2027-01-24,15.761937
2027-01-31,15.761937
2027-02-07,15.761937
2027-02-14,15.761937
2027-02-21,15.761937
2027-02-28,15.761937
2027-03-07,15.761937
2027-03-14,15.761937
2027-03-21,15.761937
2027-03-28,15.761937
2027-04-04,15.761937
2027-04-11,15.761937
2027-04-18,15.761937
2027-04-25,15.761937
2027-05-02,15.761937
2027-05-09,15.761937
2027-05-16,15.761937
2027-05-23,15.761937
2027-05-30,15.761937
2027-06-06,15.761937
2027-06-13,15.761937
2027-06-20,15.761937
2027-06-27,15.761937
2027-07-04,15.761937
2027-07-11,15.761937
2027-07-18,15.761937
2027-07-25,15.761937
2027-08-01,15.761937
2027-08-08,15.761937
2027-08-15,15.761937
